resolution_time,event_number,issue_length,participant_number,entropy,project_name,core_issue,normal_issue,core_assign,core_label,core_subscribe,before_average_time,slice_average_time
120.2113208,8.766792453,23.01358491,5.293584906,1.854420691,microsoft/vscode,3.558490566,3.728301887,1.680754717,4.151698113,2.173584906,230.1266067,94.73768565
94.61097659,8.217110573,22.65859564,5.066182405,1.822387327,microsoft/vscode,4.465698144,0.608555287,2.350282486,3.99031477,5.573042776,230.1266067,94.73768565
78.1953271,6.645327103,11.33551402,3.93317757,1.786775757,microsoft/vscode,0.889252336,0.257009346,1.375700935,4.042056075,0.243925234,230.1266067,94.73768565
114.8156664,5.899454404,10.62509743,3.442712393,1.670183979,microsoft/vscode,2.27045986,0.646531567,1.346843336,3.239282931,0.317225253,230.1266067,94.73768565
72.97999215,6.205963123,10.35268733,3.545704198,1.713055623,microsoft/vscode,1.914868576,0.691643782,1.282856022,3.153785798,0.249117301,230.1266067,94.73768565
147.7073171,9.054878049,21.94512195,5.5,1.930076346,microsoft/vscode,2.853658537,0.969512195,1.786585366,4.707317073,0.841463415,230.1266067,94.73768565
104.2304348,5.913833992,10.45573123,3.495849802,1.83122801,microsoft/vscode,2.209486166,0.839525692,1.271541502,2.998418972,0.371541502,212.2246233,94.35395408
88.90992718,7.311230356,15.35530855,4.381372173,1.877558843,microsoft/vscode,1.924875431,0.418551169,1.777692603,4.247604446,1.836719049,212.2246233,94.35395408
102.5064855,8.392835083,21.77516986,5.20568252,1.854860236,microsoft/vscode,3.527486103,3.013588635,1.730080296,3.80852378,2.539839407,212.2246233,94.35395408
123.6178751,5.858641131,10.03055176,3.41997264,1.672483045,microsoft/vscode,2.12129503,0.782033744,1.302325581,2.841313269,0.295485636,199.8661357,99.62639966
80.79088472,6.528150134,12.02144772,4.00536193,1.752116007,microsoft/vscode,1.860589812,2.756032172,1.27613941,2.36461126,0.579088472,199.8661357,99.62639966
101.4481818,8.304545455,23.06636364,5.211818182,1.813643047,microsoft/vscode,4.410909091,0.761818182,2.414545455,3.957272727,5.77,199.8661357,99.62639966
82.71253644,6.093877551,9.78483965,3.420408163,1.68398182,microsoft/vscode,1.946938776,0.6,1.264723032,2.67696793,0.225072886,199.8661357,99.62639966
134.9499456,8.874863983,23.3960827,5.436343852,1.856719935,microsoft/vscode,3.663764962,3.595212187,1.872687704,3.944504897,2.402611534,199.8661357,99.62639966
87.71826625,6.901547988,12.51764706,4.086687307,1.867667993,microsoft/vscode,1.06377709,0.367801858,1.394427245,4.167182663,0.413622291,199.8661357,99.62639966
